muni_idx,prev_ESH,prev_AHA,diferencia_pp,cve_ent,cve_mun,nomgeo,suprimir_privacidad
720,0.679627794673049,0.515161808383931,-16.4465986289118,15,106,Toluca,FALSE
725,,,,15,081,Tecámac,TRUE
734,,,,15,051,Lerma,TRUE
736,0.601233056919455,0.430646119322568,-17.0586937596887,15,037,Huixquilucan,FALSE
738,0.591596154154504,0.403834628063166,-18.7761526091338,15,039,Ixtapaluca,FALSE
743,0.675225908224959,0.437336468664497,-23.7889439560461,15,121,Cuautitlán Izcalli,FALSE
749,,,,15,067,Otzolotepec,TRUE
750,,,,15,088,Tenancingo,TRUE
751,,,,15,070,La Paz,TRUE
759,,,,15,099,Texcoco,TRUE
760,,,,15,060,Nicolás Romero,TRUE
761,,,,15,122,Valle de Chalco Solidaridad,TRUE
766,,,,15,115,Xonacatlán,TRUE
770,0.612765757069848,0.476262552937706,-13.6503204132142,15,058,Nezahualcóyotl,FALSE
771,,,,15,092,Teotihuacán,TRUE
774,,,,15,054,Metepec,TRUE
776,,,,15,026,Chapa de Mota,TRUE
777,,,,15,001,Acambay de Ruíz Castañeda,TRUE
778,,,,15,059,Nextlalpan,TRUE
788,0.661033344636406,0.326804960608162,-33.4228384028243,15,033,Ecatepec de Morelos,FALSE
789,,,,15,013,Atizapán de Zaragoza,TRUE
792,,,,15,009,Amecameca,TRUE
793,,,,15,031,Chimalhuacán,TRUE
795,,,,15,095,Tepotzotlán,TRUE
802,,,,16,006,Apatzingán,TRUE
809,,,,16,107,Zacapu,TRUE
819,,,,16,099,Tuzantla,TRUE
821,,,,16,043,Jacona,TRUE
824,,,,16,012,Buenavista,TRUE
828,,,,16,019,Cotija,TRUE
837,,,,16,075,Los Reyes,TRUE
839,,,,16,033,Gabriel Zamora,TRUE
850,,,,16,051,Marcos Castellanos,TRUE
851,0.764865107319613,0.403537705679751,-36.1327401639863,16,052,Lázaro Cárdenas,FALSE
852,0.608129971429794,0.384419604227348,-22.3710367202447,16,053,Morelia,FALSE
854,,,,16,015,Coalcomán de Vázquez Pallares,TRUE
858,0.665174335011485,0.462109888580079,-20.3064446431406,16,082,Tacámbaro,FALSE
867,,,,16,062,Pajacuarán,TRUE
873,,,,16,061,Ocampo,TRUE
877,,,,16,029,Churumuco,TRUE
883,,,,16,023,Chavinda,TRUE
885,,,,16,068,Peribán,TRUE
886,,,,16,069,La Piedad,TRUE
889,,,,16,073,Quiroga,TRUE
894,,,,16,088,Tarímbaro,TRUE
902,,,,16,102,Uruapan,TRUE
906,,,,16,047,Jungapeo,TRUE
910,0.561762863839093,0.358834135597499,-20.2928728241594,17,006,Cuautla,FALSE
911,,,,17,028,Xochitepec,TRUE
915,,,,17,008,Emiliano Zapata,TRUE
916,,,,17,003,Axochiapan,TRUE
917,,,,17,036,Hueyapan,TRUE
919,,,,17,025,Tlaquiltenango,TRUE
921,,,,17,020,Tepoztlán,TRUE
926,,,,17,031,Zacatepec,TRUE
928,,,,17,019,Tepalcingo,TRUE
931,,,,17,015,Miacatlán,TRUE
933,0.762853767205349,0.596045833386616,-16.6807933818733,17,011,Jiutepec,FALSE
934,,,,17,010,Jantetelco,TRUE
935,,,,17,018,Temixco,TRUE
936,,,,17,029,Yautepec,TRUE
937,,,,17,012,Jojutla,TRUE
938,,,,17,024,Tlaltizapán de Zapata,TRUE
939,0.630605566384508,0.362934165106628,-26.767140127788,17,007,Cuernavaca,FALSE
940,,,,17,005,Coatlán del Río,TRUE
941,,,,17,004,Ayala,TRUE
943,,,,17,032,Zacualpan de Amilpas,TRUE
948,,,,18,011,Ruíz,TRUE
949,0.704244525471046,0.496411017790341,-20.7833507680704,18,017,Tepic,FALSE
952,,,,18,004,Compostela,TRUE
953,,,,18,013,San Pedro Lagunillas,TRUE
954,,,,18,008,Xalisco,TRUE
956,0.644538524514541,0.423364996425947,-22.1173528088594,18,006,Ixtlán del Río,FALSE
957,,,,18,007,Jala,TRUE
958,,,,18,014,Santa María del Oro,TRUE
959,,,,18,015,Santiago Ixcuintla,TRUE
960,,,,18,016,Tecuala,TRUE
963,,,,18,020,Bahía de Banderas,TRUE
964,,,,18,002,Ahuacatlán,TRUE
966,0.611200605667662,0.31209941627629,-29.9101189391372,19,048,Santa Catarina,FALSE
967,,,,19,044,Sabinas Hidalgo,TRUE
971,,,,19,047,Hidalgo,TRUE
972,,,,19,049,Santiago,TRUE
973,,,,19,009,Cadereyta Jiménez,TRUE
974,,,,19,032,Lampazos de Naranjo,TRUE
975,0.648107201621141,0.342578274314686,-30.5528927306455,19,031,Juárez,FALSE
980,0.673509491759958,0.336271725248202,-33.7237766511756,19,039,Monterrey,FALSE
981,0.715359131625131,0.288756064116125,-42.6603067509007,19,046,San Nicolás de los Garza,FALSE
985,0.561483446325824,0.340552979716912,-22.0930466608912,19,021,General Escobedo,FALSE
986,0.744690472178305,0.385169627384601,-35.9520844793704,19,012,Ciénega de Flores,FALSE
990,0.652744699388335,0.426836361275013,-22.5908338113322,19,026,Guadalupe,FALSE
995,,,,19,007,Aramberri,TRUE
996,,,,19,018,García,TRUE
998,0.715964473789777,0.40783658545594,-30.8127888333837,19,006,Apodaca,FALSE
1031,,,,20,134,San Felipe Jalapa de Díaz,TRUE
1056,,,,20,545,Teotitlán de Flores Magón,TRUE
1062,,,,20,184,San Juan Bautista Tuxtepec,TRUE
1077,,,,20,272,San Miguel Panixtlahuaca,TRUE
1086,,,,20,318,San Pedro Mixtepec,TRUE
1113,,,,20,500,Santiago Yosondúa,TRUE
1126,,,,20,057,Matías Romero Avendaño,TRUE
1139,,,,20,075,Reforma de Pineda,TRUE
1175,,,,20,030,El Espinal,TRUE
1188,,,,20,025,Chahuites,TRUE
1192,0.537172335412621,0.348118869449009,-18.9053465963612,20,515,Santo Domingo Tehuantepec,FALSE
1193,,,,20,516,Santo Domingo Teojomulco,TRUE
1224,,,,20,076,La Reforma,TRUE
1248,,,,20,107,San Antonio de la Cal,TRUE
1276,,,,20,130,San Dionisio del Mar,TRUE
1346,,,,20,498,Santiago Yaveo,TRUE
1356,,,,20,235,San Luis Amatlán,TRUE
1374,,,,20,258,San Miguel Achiutla,TRUE
1433,,,,20,339,San Pedro y San Pablo Teposcolula,TRUE
1474,,,,20,390,Santa Lucía del Camino,TRUE
1475,,,,20,408,Santa María del Rosario,TRUE
1483,,,,20,397,Heroica Ciudad de Tlaxiaco,TRUE
1500,,,,20,002,Acatlán de Pérez Figueroa,TRUE
1512,,,,20,385,Santa Cruz Xoxocotlán,TRUE
1515,,,,20,023,Cuilápam de Guerrero,TRUE
1517,,,,20,310,San Pedro Ixtlahuaca,TRUE
1520,,,,20,324,San Pedro Pochutla,TRUE
1531,,,,20,021,Cosolapa,TRUE
