"muni_idx","prev_ESH","prev_AHA","diferencia_pp","cve_ent","cve_mun","nomgeo"
850,0.596116399014393,0.471019265534679,-12.5097133479714,"16","051","Marcos Castellanos"
851,0.707010334436189,0.447635138615018,-25.9375195821171,"16","052","Lázaro Cárdenas"
852,0.504917742114481,0.295977848850102,-20.8939893264379,"16","053","Morelia"
854,0.644039817650345,0.551755402598546,-9.22844150517991,"16","015","Coalcomán de Vázquez Pallares"
858,0.548399027410428,0.320475882720056,-22.7923144690372,"16","082","Tacámbaro"
867,0.548953953054862,0.325177458746974,-22.3776494307888,"16","062","Pajacuarán"
873,0.454612587526099,0.245241790241822,-20.9370797284277,"16","061","Ocampo"
877,0.771636812049201,0.564950682368061,-20.668612968114,"16","029","Churumuco"
883,0.621708626154994,0.341002556132777,-28.0706070022217,"16","023","Chavinda"
885,0.659023625612039,0.346688601260321,-31.2335024351718,"16","068","Peribán"
886,0.731351831060828,0.406560967670711,-32.4790863390117,"16","069","La Piedad"
889,0.832090386268036,0.466269269451633,-36.5821116816403,"16","073","Quiroga"
892,0.588503952571027,0.3071606801996,-28.1343272371427,"16","112","Zitácuaro"
894,0.665820498363866,0.433009863537049,-23.2810634826816,"16","088","Tarímbaro"
902,0.693177792747627,0.485045933772765,-20.8131858974861,"16","102","Uruapan"
906,0.601379073850924,0.334112955279677,-26.7266118571247,"16","047","Jungapeo"
910,0.713013325911439,0.404781298077936,-30.8232027833503,"17","006","Cuautla"
911,0.730690647650063,0.533012106292934,-19.7678541357128,"17","028","Xochitepec"
915,0.684896072653034,0.419188674829089,-26.5707397823944,"17","008","Emiliano Zapata"
916,0.613407044030679,0.428323297894785,-18.5083746135894,"17","003","Axochiapan"
917,0.578261643854099,0.291050261943892,-28.7211381910207,"17","036","Hueyapan"
919,0.790739259082205,0.654819827133397,-13.5919431948809,"17","025","Tlaquiltenango"
921,0.581785421309503,0.333425111428839,-24.8360309880664,"17","020","Tepoztlán"
926,0.74675910120222,0.494990843814066,-25.1768257388155,"17","031","Zacatepec"
928,0.751233107751648,0.411613324355485,-33.9619783396163,"17","019","Tepalcingo"
931,0.527478729489386,0.269811782886716,-25.7666946602669,"17","015","Miacatlán"
933,0.755905486826701,0.56735009013238,-18.855539669432,"17","011","Jiutepec"
934,0.801036789508585,0.297702662659701,-50.3334126848885,"17","010","Jantetelco"
935,0.71082539610039,0.299348853974583,-41.1476542125807,"17","018","Temixco"
936,0.576276326450095,0.301463178590221,-27.4813147859874,"17","029","Yautepec"
937,0.730657182751986,0.507661219546449,-22.2995963205537,"17","012","Jojutla"
938,0.688972693706981,0.343624210241862,-34.5348483465118,"17","024","Tlaltizapán de Zapata"
939,0.641573232838397,0.441112095949007,-20.0461136889389,"17","007","Cuernavaca"
940,0.511590867920042,0.265223012212248,-24.6367855707793,"17","005","Coatlán del Río"
941,0.712356341765467,0.414522107333152,-29.7834234432315,"17","004","Ayala"
943,0.502588204277649,0.295397287787322,-20.7190916490327,"17","032","Zacualpan de Amilpas"
948,0.739538064402607,0.365552777659296,-37.3985286743311,"18","011","Ruíz"
949,0.56543425360878,0.370515979922129,-19.4918273686651,"18","017","Tepic"
952,0.604671190784455,0.370525558363084,-23.4145632421371,"18","004","Compostela"
953,0.550751637398942,0.329848506493905,-22.0903130905037,"18","013","San Pedro Lagunillas"
954,0.791991982244765,0.408468206458904,-38.3523775785861,"18","008","Xalisco"
956,0.667580507678814,0.444004019745106,-22.3576487933709,"18","006","Ixtlán del Río"
957,0.736060384908085,0.279941753446426,-45.6118631461659,"18","007","Jala"
958,0.605569683067373,0.346609541645233,-25.896014142214,"18","014","Santa María del Oro"
959,0.619248119916088,0.380188538886389,-23.9059581029699,"18","015","Santiago Ixcuintla"
960,0.637063236854269,0.483877016392232,-15.3186220462037,"18","016","Tecuala"
963,0.607118936425712,0.35755741066025,-24.9561525765463,"18","020","Bahía de Banderas"
964,0.520250722080018,0.245439755970566,-27.4810966109452,"18","002","Ahuacatlán"
966,0.500637673858458,0.298206932421868,-20.243074143659,"19","048","Santa Catarina"
967,0.593153582222322,0.477121116128479,-11.6032466093843,"19","044","Sabinas Hidalgo"
971,0.60858354056944,0.299712865950022,-30.8870674619417,"19","047","Hidalgo"
972,0.811389153202565,0.667494064466162,-14.3895088736403,"19","049","Santiago"
973,0.737941860342077,0.497318524520405,-24.0623335821672,"19","009","Cadereyta Jiménez"
974,0.53869371620342,0.332186181447022,-20.6507534756397,"19","032","Lampazos de Naranjo"
975,0.465138484204327,0.249023080628258,-21.6115403576069,"19","031","Juárez"
978,0.342795769642589,0.182845959211925,-15.9949810430665,"19","041","Pesquería"
980,0.545861715775346,0.330633839061742,-21.5227876713604,"19","039","Monterrey"
981,0.765873081742423,0.581894931733649,-18.3978150008774,"19","046","San Nicolás de los Garza"
982,0.871946957317028,0.777254209771601,-9.46927475454267,"19","019","San Pedro Garza García"
985,0.561251221995037,0.350380530374408,-21.0870691620629,"19","021","General Escobedo"
986,0.598401276489075,0.376051202878287,-22.2350073610788,"19","012","Ciénega de Flores"
990,0.7360388800965,0.576621714784397,-15.9417165312103,"19","026","Guadalupe"
995,0.694478656650198,0.376314799877915,-31.8163856772282,"19","007","Aramberri"
996,0.485539968260688,0.274635284643988,-21.09046836167,"19","018","García"
