"muni_id","clues_total","clues_publico"
"20445",1,1
"20446",5,5
"20447",9,8
"20448",1,1
"20449",1,1
"20450",10,10
"20451",2,2
"20452",1,1
"20453",2,2
"20454",2,2
"20455",1,1
"20456",1,1
"20457",3,3
"20458",1,1
"20459",4,4
"20460",4,4
"20461",1,1
"20462",1,1
"20463",1,1
"20464",1,1
"20465",3,3
"20466",9,9
"20467",6,4
"20468",8,8
"20469",17,15
"20470",5,5
"20471",1,1
"20472",2,2
"20473",2,2
"20474",3,3
"20475",6,3
"20477",1,1
"20478",2,2
"20479",1,1
"20480",1,1
"20481",2,2
"20482",35,25
"20483",2,2
"20484",2,2
"20485",1,1
"20486",2,2
"20487",1,1
"20489",3,3
"20490",1,1
"20491",5,5
"20492",6,6
"20493",1,1
"20494",8,8
"20495",3,3
"20496",2,2
"20497",1,1
"20498",6,6
"20499",2,2
"20500",5,5
"20501",1,1
"20502",4,4
"20503",1,1
"20504",1,1
"20505",3,3
"20506",1,1
"20507",1,1
"20508",1,1
"20509",5,5
"20510",1,1
"20511",4,4
"20512",1,1
"20513",4,3
"20514",1,1
"20515",27,20
"20516",3,3
"20517",1,1
"20519",1,1
"20520",5,4
"20521",1,1
"20522",1,1
"20523",1,1
"20524",1,1
"20525",6,5
"20526",6,6
"20527",1,1
"20528",1,1
"20529",2,2
"20530",2,2
"20531",1,1
"20532",4,4
"20533",1,1
"20534",1,1
"20535",2,2
"20537",9,8
"20539",1,1
"20540",4,4
"20541",1,1
"20542",1,1
"20543",2,2
"20544",2,2
"20545",6,5
"20546",1,1
"20547",1,1
"20548",2,2
"20549",6,6
"20550",2,2
"20551",17,11
"20552",1,1
"20553",2,1
"20554",3,3
"20555",3,3
"20557",5,3
"20558",1,1
"20559",16,15
"20560",3,3
"20561",1,1
"20562",1,1
"20563",1,1
"20564",1,1
"20565",9,3
"20566",2,2
"20567",2,2
"20568",1,1
"20569",1,1
"20570",12,8
"21001",16,12
"21002",3,3
"21003",29,15
"21004",26,6
"21005",1,1
"21006",9,8
"21007",1,1
"21008",5,5
"21009",1,1
"21010",23,20
"21011",1,1
"21012",3,3
"21013",3,2
"21014",2,2
"21015",26,8
"21016",3,3
"21017",8,7
"21018",4,4
"21019",55,20
"21020",1,1
"21021",1,1
"21022",5,4
"21023",3,3
"21024",1,1
"21025",4,4
"21026",4,3
"21027",3,3
"21028",1,1
"21029",1,1
"21030",1,1
"21031",1,1
"21032",1,1
"21033",1,1
"21034",6,3
"21035",10,10
"21036",6,6
"21037",1,1
"21038",2,1
"21039",5,5
"21040",1,1
"21041",24,5
"21042",4,4
"21043",23,20
"21044",7,7
"21045",17,12
"21046",1,1
"21047",10,7
"21048",6,4
"21049",7,7
"21050",8,8
"21051",11,9
"21052",1,1
"21053",30,26
"21054",9,7
"21055",3,3
"21056",2,2
"21057",4,4
"21058",7,7
"21059",3,2
"21060",2,2
"21061",7,7
"21062",3,3
"21063",5,4
"21064",8,8
"21065",8,6
"21066",5,5
"21067",4,3
"21068",5,5
"21069",8,6
"21070",4,4
"21071",35,22
"21072",13,12
"21073",3,3
"21074",23,13
"21075",3,3
"21076",10,10
"21077",2,2
"21078",4,4
"21079",1,1
"21080",1,1
"21081",3,3
"21082",3,3
"21083",21,21
"21084",1,1
"21085",37,21
"21086",5,5
"21087",4,4
"21088",3,3
"21089",5,5
"21090",5,2
"21091",4,3
"21092",3,3
"21093",4,4
"21094",16,10
"21095",1,1
"21096",2,2
"21097",1,1
"21098",3,2
"21099",6,6
"21100",6,6
"21101",2,2
"21102",3,2
"21103",3,2
"21104",5,4
"21105",3,3
"21106",5,4
"21107",6,6
"21108",7,5
"21109",8,8
"21110",11,8
