"muni_id","clues_total","clues_publico","pob_adulta","clues_por_10k","clues_publico_por_10k"
"15038",3,2,7581,3.95726157499011,2.63817438332674
"15039",62,34,361661,1.71431257448273,0.94010689568408
"15017",2,2,6587,3.0362835888872,3.0362835888872
"15069",1,1,3237,3.08928019771393,3.08928019771393
"15065",13,8,23874,5.44525425148697,3.35092569322275
"15048",25,22,44291,5.64448759341627,4.96714908220632
"15121",80,24,398313,2.00847072528388,0.602541217585165
"15080",16,16,14122,11.3298399660105,11.3298399660105
"15071",10,10,9736,10.2711585866886,10.2711585866886
"15075",8,6,19364,4.13137781450114,3.09853336087585
"15072",4,3,10217,3.91504355485955,2.93628266614466
"15056",13,12,19921,6.52577681843281,6.02379398624567
"15067",17,14,55442,3.06626745066917,2.52516142996284
"15088",24,16,65119,3.68556028194536,2.45704018796357
"15070",35,11,198033,1.7673822039761,0.55546297839249
"15078",5,5,5930,8.43170320404722,8.43170320404722
"15111",18,16,30345,5.93178447849728,5.27269731421981
"15112",12,11,31085,3.86038282129645,3.53868425285507
"15091",11,6,42337,2.59820015589201,1.41720008503201
"15113",16,13,40326,3.96766354213163,3.22372662798195
"15006",2,1,8099,2.46944067168786,1.23472033584393
"15123",18,18,16558,10.8708781253775,10.8708781253775
"15099",71,33,187125,3.79425517702071,1.76352705410822
"15060",58,24,286787,2.02240687339384,0.836858016576763
"15122",42,14,252647,1.6623985244234,0.554132841474468
"15044",4,4,19175,2.08604954367666,2.08604954367666
"15110",26,19,39241,6.6257230957417,4.84187456996509
"15045",35,29,56710,6.17175101393052,5.11373655439958
"15098",3,2,3706,8.09498111171074,5.39665407447383
"15115",13,6,34886,3.72642320701714,1.71988763400791
"15117",9,9,8250,10.9090909090909,10.9090909090909
"15124",46,43,54360,8.46210448859456,7.91022810890361
"15029",25,11,131607,1.89959500634465,0.835821802791645
"15058",151,41,772824,1.95387306812418,0.530521826444313
"15092",18,12,39016,4.61349190075866,3.07566126717244
"15077",6,6,3955,15.1706700379267,15.1706700379267
"15055",3,2,9000,3.33333333333333,2.22222222222222
"15054",89,31,172326,5.16462982950919,1.79891600803129
"15049",5,5,9463,5.28373665856494,5.28373665856494
"15026",11,11,19277,5.7062820978368,5.7062820978368
"15001",31,28,41053,7.55121428397437,6.82045161133169
"15059",9,4,35517,2.53399780386857,1.12622124616381
"15086",22,18,20469,10.7479603302555,8.79378572475451
"15053",10,7,39855,2.50909547108267,1.75636682975787
"15090",21,16,56514,3.71589340694341,2.8311568814807
"15032",14,14,20680,6.76982591876209,6.76982591876209
"15125",2,1,9657,2.07103655379517,1.03551827689759
"15114",32,28,60042,5.32960261150528,4.66340228506712
"15093",8,6,21149,3.78268476050877,2.83701357038158
"15063",13,12,21486,6.05045145676254,5.58503211393466
"15073",5,4,20288,2.46451104100946,1.97160883280757
"15033",188,79,1152767,1.63085862103964,0.685307612032614
"15013",113,33,373892,3.02226311341243,0.882607811881506
"15027",2,1,8194,2.44081034903588,1.22040517451794
"15018",10,6,44309,2.25687783520278,1.35412670112167
"15009",16,10,35696,4.48229493500672,2.8014343343792
"15031",59,22,447797,1.31756130568092,0.491294046186107
"15043",8,7,19126,4.18278782808742,3.65993934957649
"15095",17,10,69361,2.45094505557878,1.44173238563458
"16074",2,2,6857,2.9167274318215,2.9167274318215
"16090",4,3,10001,3.999600039996,2.999700029997
"16002",9,9,8765,10.2681118083286,10.2681118083286
"16003",12,10,14434,8.31370375502286,6.92808646251905
"16004",8,6,9986,8.01121570198278,6.00841177648708
"16005",3,3,6554,4.5773573390296,4.5773573390296
"16006",38,13,78067,4.86761371642307,1.66523627140789
"16007",1,1,2172,4.60405156537753,4.60405156537753
"16008",20,20,13576,14.7318797878609,14.7318797878609
"16009",14,9,22175,6.31341600901917,4.05862457722661
"16096",5,5,3667,13.6351240796291,13.6351240796291
"16097",13,13,17214,7.55199256419194,7.55199256419194
"16106",11,6,20180,5.45094152626363,2.97324083250743
"16107",36,15,50619,7.11195400936407,2.96331417056836
"16108",47,15,132180,3.55575730065063,1.13481615978212
"16109",2,2,2401,8.32986255726781,8.32986255726781
"16110",21,15,31564,6.65314915726777,4.75224939804841
"16010",12,11,12572,9.54502068087814,8.74960229080496
"16011",5,5,7369,6.78518116433709,6.78518116433709
"16098",11,7,16188,6.79515690635038,4.32419075858661
