"muni_idx","prev_ESH","prev_AHA","diferencia_pp","cve_ent","cve_mun","nomgeo"
359,0.632374994747187,0.353226595335874,-27.9148399411312,"11","037","Silao de la Victoria"
360,0.638290627601762,0.510114797011676,-12.8175830590086,"11","042","Valle de Santiago"
361,0.573518256176972,0.360086303014734,-21.3431953162238,"11","043","Victoria"
363,0.6342663183474,0.460166789675259,-17.4099528672141,"11","044","Villagrán"
364,0.591536363326309,0.386641655794692,-20.4894707531617,"11","046","Yuriria"
365,0.533767661766583,0.350103655313975,-18.3664006452609,"11","001","Abasolo"
366,0.529811468377018,0.346037614927393,-18.3773853449625,"11","003","San Miguel de Allende"
367,0.585316579013062,0.284806243665565,-30.0510335347497,"11","004","Apaseo el Alto"
368,0.63796755073695,0.425368124354408,-21.2599426382543,"11","005","Apaseo el Grande"
370,0.704475957267023,0.505017565421805,-19.9458391845217,"11","008","Manuel Doblado"
371,0.62067565341978,0.434048552177749,-18.6627101242031,"11","009","Comonfort"
373,0.693738301955813,0.557448668681135,-13.6289633274678,"11","015","Guanajuato"
374,0.566622400429489,0.288805765801886,-27.7816634627603,"11","016","Huanímaro"
375,0.649941562154483,0.51369632057815,-13.6245241576332,"11","017","Irapuato"
376,0.533293833228252,0.331879749293562,-20.141408393469,"11","018","Jaral del Progreso"
378,0.542624161154153,0.354396727331237,-18.8227433822916,"12","031","General Canuto A. Neri"
385,0.571232272028223,0.374328470933909,-19.6903801094314,"12","053","San Marcos"
388,0.516866967541188,0.290914120656793,-22.5952846884395,"12","007","Arcelia"
389,0.728201689158922,0.43626828313794,-29.1933406020983,"12","012","Ayutla de los Libres"
392,0.590439608486201,0.406047404096891,-18.439220438931,"12","011","Atoyac de Álvarez"
393,0.534875164572337,0.330670465761832,-20.4204698810505,"12","032","General Heliodoro Castillo"
395,0.518231196918333,0.314929871093341,-20.3301325824992,"12","029","Chilpancingo de los Bravo"
398,0.606571902829265,0.410161238493667,-19.6410664335598,"12","039","Juan R. Escudero"
399,0.676801864449969,0.437780094819842,-23.9021769630126,"12","038","Zihuatanejo de Azueta"
