"muni_idx","prev_principal_ponderado","prev_sensibilidad_sin_ponderar","n","dif_sin_menos_principal_pp","quintil_principal","quintil_sin_ponderar","cambia_quintil","estrato_n"
353,0.716649292293064,0.698335483775012,3,-1.83138085180514,4,4,FALSE,"n<=9"
354,0.635127224952991,0.637736524271834,9,0.260929931884302,3,3,FALSE,"n<=9"
355,0.423408150048001,0.406358181353287,2,-1.70499686947138,1,1,FALSE,"n<=9"
356,0.672476502162141,0.627346721045426,14,-4.51297811167152,3,3,FALSE,"n=10-29"
357,0.500171731694328,0.546578427548923,13,4.64066958545958,1,1,FALSE,"n=10-29"
359,0.787201061399178,0.715843965971555,25,-7.13570954276233,5,5,FALSE,"n=10-29"
360,0.57720430328184,0.589793656014673,21,1.25893527328332,2,2,FALSE,"n=10-29"
361,0.695366617370178,0.693878255005648,2,-0.148836236453065,4,4,FALSE,"n<=9"
363,0.579730879829377,0.566835671426795,15,-1.28952084025817,2,1,TRUE,"n=10-29"
364,0.648832092476057,0.634979223730281,6,-1.38528687457762,3,3,FALSE,"n<=9"
365,0.682509642390201,0.65445371839183,7,-2.8055923998371,3,3,FALSE,"n<=9"
366,0.406940262068191,0.56038244948165,14,15.3442187413459,1,1,FALSE,"n=10-29"
367,0.754225386768518,0.66658920039266,13,-8.76361863758588,5,3,TRUE,"n=10-29"
368,0.643636543805391,0.638981872321324,18,-0.465467148406706,3,3,FALSE,"n=10-29"
370,0.871780126219908,0.848699502267751,1,-2.30806239521568,5,5,FALSE,"n<=9"
371,0.715285590784589,0.633554528343009,9,-8.17310624415798,4,3,TRUE,"n<=9"
373,0.698663436720604,0.678796035274462,29,-1.98674014461415,4,4,FALSE,"n=10-29"
374,0.552359861794739,0.594862245541966,11,4.25023837472273,2,2,FALSE,"n=10-29"
375,0.711401706220524,0.668102326355317,60,-4.32993798652066,4,4,FALSE,"n>=30"
376,0.698157695278046,0.655263435527023,11,-4.28942597510235,4,3,TRUE,"n=10-29"
378,0.601725462974823,0.650162214426407,2,4.84367514515848,2,3,TRUE,"n<=9"
385,0.711487231071291,0.699036111251538,1,-1.24511198197533,4,4,FALSE,"n<=9"
388,0.648363973711325,0.563900935695759,9,-8.44630380155665,3,1,TRUE,"n<=9"
389,0.656521825761118,0.655001668732673,7,-0.152015702844555,3,3,FALSE,"n<=9"
392,0.668461082817173,0.669855606131402,3,0.139452331422885,3,4,TRUE,"n<=9"
393,0.724270637361847,0.642482826093947,9,-8.17878112678995,4,3,TRUE,"n<=9"
395,0.545265543580741,0.570361976171821,13,2.50964325910797,1,1,FALSE,"n=10-29"
398,0.6924092962572,0.668149359553707,9,-2.42599367034927,4,4,FALSE,"n<=9"
399,0.746483590949674,0.665017802762464,9,-8.14657881872104,5,3,TRUE,"n<=9"
402,0.538821392147825,0.560566572914547,2,2.17451807667227,1,1,FALSE,"n<=9"
404,0.631760898938938,0.60465242295116,39,-2.71084759877777,3,2,TRUE,"n>=30"
412,0.749503381069478,0.714229584927073,7,-3.52737961424049,5,5,FALSE,"n<=9"
415,0.541412323739406,0.597005933244305,9,5.55936095048988,1,2,TRUE,"n<=9"
423,0.613998918260213,0.653374311324443,3,3.93753930642303,2,3,TRUE,"n<=9"
427,0.772759011024139,0.75455143634142,13,-1.82075746827191,5,5,FALSE,"n=10-29"
435,0.728139190946422,0.700707638659025,8,-2.74315522873974,4,4,FALSE,"n<=9"
437,0.752899665857169,0.729306117675211,4,-2.3593548181958,5,5,FALSE,"n<=9"
440,0.611600681412614,0.64568078280672,11,3.40801013941061,2,3,TRUE,"n=10-29"
450,0.517906296462122,0.561948452323734,10,4.40421558616116,1,1,FALSE,"n=10-29"
