"muni_idx","diferencia_pp","dif_q025","dif_q975","prev_ESH","fuente_ESH","priv_ESH","prev_AHA","fuente_AHA","priv_AHA","ambos_directos","suprimir_privacidad","cve_ent","cve_mun","nomgeo"
2056,-22.6076103684168,-37.4919452598813,-7.34399537998245,0.641444066048663,"muestra_directa",TRUE,0.415367962364495,"muestra_directa",TRUE,TRUE,TRUE,"29","025","San Pablo del Monte"
2057,-20.5252081016163,-36.0610889016726,-4.18404633541838,0.676971040169499,"muestra_directa",TRUE,0.471718959153336,"muestra_directa",TRUE,TRUE,TRUE,"29","058","Santa Catarina Ayometla"
2058,-24.9487831960135,-38.8085784533559,-10.8143235958459,0.631189525202313,"muestra_directa",TRUE,0.381701693242178,"muestra_directa",TRUE,TRUE,TRUE,"29","014","Hueyotlipan"
2059,-21.7138300935899,-35.839959485661,-6.14937269296198,0.651514251350406,"muestra_directa",TRUE,0.434375950414506,"muestra_directa",TRUE,TRUE,TRUE,"29","028","Teolocholco"
2060,-25.7145950152501,-39.9362755572371,-11.3188303164507,0.640323818281642,"sintetico_postestratificado",FALSE,0.383177868129141,"sintetico_postestratificado",FALSE,FALSE,FALSE,"29","040","Xaltocan"
2061,-25.3680694320151,-40.9540883569819,-8.80631503701822,0.644700962842449,"sintetico_postestratificado",FALSE,0.391020268522298,"sintetico_postestratificado",FALSE,FALSE,FALSE,"29","060","Santa Isabel Xiloxoxtla"
2062,-25.2678574536902,-38.045996663214,-11.5317239697716,0.660725581613826,"muestra_directa",TRUE,0.408047007076924,"muestra_directa",TRUE,TRUE,TRUE,"29","015","Ixtacuixtla de Mariano Matamoros"
2063,-24.5681973973633,-39.0778733270576,-6.71671630007552,0.621629885472311,"sintetico_postestratificado",FALSE,0.375947911498678,"sintetico_postestratificado",FALSE,FALSE,FALSE,"29","057","Santa Apolonia Teacalco"
2064,-24.5429167032353,-39.006400136983,-7.09103829589017,0.604639748287851,"sintetico_postestratificado",FALSE,0.359210581255498,"sintetico_postestratificado",FALSE,FALSE,FALSE,"29","056","Santa Ana Nopalucan"
2065,-23.9575202734229,-40.1268190598329,-7.44547815841199,0.637162274584988,"sintetico_postestratificado",FALSE,0.39758707185076,"sintetico_postestratificado",FALSE,FALSE,FALSE,"29","051","San Jerónimo Zacualpan"
2066,-24.0576155778559,-38.4620735757073,-8.68647175145113,0.649707487545186,"muestra_directa",TRUE,0.409131331766627,"muestra_directa",TRUE,TRUE,TRUE,"29","041","Papalotla de Xicohténcatl"
2067,-24.0494321500825,-38.7987154299101,-8.27981508488827,0.660115520025041,"muestra_directa",TRUE,0.419621198524216,"muestra_directa",TRUE,TRUE,TRUE,"29","038","Tzompantepec"
