"muni_idx","prev_principal_ponderado","prev_sensibilidad_sin_ponderar","n","dif_sin_menos_principal_pp","quintil_principal","quintil_sin_ponderar","cambia_quintil","estrato_n"
828,0.289031717298225,0.324977018014444,17,3.59453007162197,1,1,FALSE,"n=10-29"
837,0.592914712352781,0.54352309423902,3,-4.93916181137604,5,5,FALSE,"n<=9"
839,0.440900246944891,0.437583407001075,9,-0.331683994381532,4,4,FALSE,"n<=9"
850,0.471019232979487,0.453836736792948,6,-1.71824961865391,4,4,FALSE,"n<=9"
851,0.447635039599324,0.386165810007903,20,-6.14692295914205,4,3,TRUE,"n=10-29"
852,0.295977918534666,0.348636233848843,43,5.26583153141771,1,2,TRUE,"n>=30"
854,0.55175538904211,0.5415778607444,7,-1.01775282977097,5,5,FALSE,"n<=9"
858,0.320475904308925,0.340800264343946,33,2.03243600350205,2,2,FALSE,"n>=30"
867,0.325177490767996,0.33062496317487,12,0.544747240687432,2,1,TRUE,"n=10-29"
873,0.245241916497506,0.303376852658547,13,5.81349361610415,1,1,FALSE,"n=10-29"
877,0.564950709927237,0.570093705726502,8,0.514299579926425,5,5,FALSE,"n<=9"
883,0.341002597855539,0.387940669621892,10,4.69380717663527,2,3,TRUE,"n=10-29"
885,0.346688520030651,0.315002819953315,9,-3.1685700077336,2,1,TRUE,"n<=9"
886,0.406560987670793,0.418998864936219,6,1.24378772654254,3,3,FALSE,"n<=9"
889,0.466269344317655,0.48727931687164,4,2.10099725539851,4,5,TRUE,"n<=9"
892,0.307160779274695,0.331708357431389,12,2.45475781566938,1,2,TRUE,"n=10-29"
894,0.433009855940474,0.411014018445212,11,-2.19958374952618,4,3,TRUE,"n=10-29"
902,0.485045867860338,0.449896983715927,11,-3.51488841444111,4,4,FALSE,"n=10-29"
906,0.334113060283494,0.375519856724526,6,4.14067964410321,2,2,FALSE,"n<=9"
910,0.404781298880558,0.367416192804987,37,-3.73651060755709,3,2,TRUE,"n>=30"
911,0.533011971944455,0.443388872348223,12,-8.9623099596232,5,4,TRUE,"n=10-29"
915,0.419188622044624,0.326619247769415,20,-9.25693742752084,3,1,TRUE,"n=10-29"
916,0.428323240319204,0.359449163351383,8,-6.88740769678216,4,2,TRUE,"n<=9"
917,0.291050347205124,0.333947791593954,9,4.28974443888303,1,2,TRUE,"n<=9"
