"muni_idx","n","prev_sin","prev_con","dif_pp","quintil_sin","quintil_con","cambia_quintil"
719,9,0.862805085642102,0.87999788631639,1.71928006742877,4,4,FALSE
720,15,0.751421748224046,0.833615080326894,8.21933321028482,1,3,TRUE
724,1,0.61617673193364,0.566432267793034,-4.97444641406052,1,1,FALSE
725,4,0.877424957357613,0.888655145780376,1.12301884227627,4,4,FALSE
726,1,0.586104077129005,0.5398706606226,-4.6233416506405,1,1,FALSE
734,4,0.836115025675482,0.854961154561232,1.88461288857502,3,3,FALSE
736,16,0.752775132524516,0.766635049675058,1.38599171505426,1,2,TRUE
738,13,0.843210294520198,0.858195981327312,1.49856868071131,3,3,FALSE
743,12,0.874248752576252,0.909684806090771,3.54360535145187,4,5,TRUE
749,3,0.782553976314435,0.699702422097208,-8.28515542172271,2,1,TRUE
750,5,0.832224154878968,0.876583455645985,4.43593007670171,3,4,TRUE
751,7,0.840100524929301,0.784260533840716,-5.58399910885847,3,2,TRUE
759,3,0.834644558310526,0.845840265566302,1.11957072557768,3,3,FALSE
760,9,0.831426295716148,0.838968092697868,0.754179698171997,3,3,FALSE
761,9,0.859848321477196,0.869886673370649,1.00383518934521,4,4,FALSE
766,3,0.871914883159325,0.877516771015934,0.560188785660942,4,4,FALSE
770,25,0.8190402384997,0.808726974098142,-1.0313264401558,2,2,FALSE
771,5,0.840870174603891,0.745510484553409,-9.53596900504821,3,2,TRUE
774,7,0.770800153462086,0.833610906013603,6.28107525515167,2,3,TRUE
776,2,0.640702646406338,0.611244600832554,-2.9458045573784,1,1,FALSE
777,7,0.701344715462138,0.578586704790201,-12.2758010671937,1,1,FALSE
778,4,0.60121032889406,0.62725186952757,2.60415406335102,1,1,FALSE
788,39,0.826902026021605,0.768751089307164,-5.81509367144409,3,2,TRUE
789,10,0.815609058210638,0.861360550332281,4.57514921216428,2,3,TRUE
792,6,0.767942751268343,0.730073857760186,-3.78688935081576,2,1,TRUE
793,9,0.907857502304913,0.840012187572485,-6.78453147324285,5,3,TRUE
795,3,0.872108617253321,0.829687125820769,-4.24214914325522,4,3,TRUE
802,3,0.855926880530074,0.869886469496184,1.39595889661104,3,4,TRUE
809,8,0.857149158826725,0.77195735773183,-8.51918010948949,3,2,TRUE
819,4,0.791045252972829,0.795537309189687,0.449205621685766,2,2,FALSE
821,4,0.921712489984026,0.877785451765478,-4.39270382185479,5,4,TRUE
824,7,0.854722465026517,0.827842779160305,-2.68796858662123,3,3,FALSE
828,8,0.860470274038711,0.880744739789852,2.02744657511404,4,4,FALSE
837,2,0.872815176163136,0.877801697825707,0.498652166257108,4,4,FALSE
839,3,0.891800459047387,0.892783976355212,0.0983517307825199,4,4,FALSE
850,3,0.886599582519066,0.885330053251662,-0.126952926740431,4,4,FALSE
851,12,0.832578244057161,0.809886487102445,-2.26917569547157,3,2,TRUE
852,15,0.878773794146575,0.918147525945549,3.93737317989736,4,5,TRUE
854,4,0.903085647902996,0.917685370464368,1.45997225613718,5,5,FALSE
858,15,0.866638780508601,0.869432036330707,0.279325582210588,4,4,FALSE
867,3,0.748633511111506,0.752969729234266,0.433621812276019,1,2,TRUE
873,1,0.856367966085338,0.857940281347627,0.15723152622884,3,3,FALSE
877,5,0.868865180875,0.886806009391008,1.79408285160078,4,4,FALSE
883,3,0.903555035016137,0.892423761370673,-1.11312736454648,5,4,TRUE
885,5,0.822297538413122,0.860485146306699,3.81876078935763,2,3,TRUE
886,3,0.919761010311085,0.914679903109458,-0.508110720162702,5,5,FALSE
889,2,0.943874035320748,0.925428814062438,-1.84452212583104,5,5,FALSE
892,2,0.898681170132978,0.836142516198074,-6.25386539349041,5,3,TRUE
894,5,0.711421669674724,0.720368949315761,0.89472796410367,1,1,FALSE
902,6,0.840476861463403,0.878215226354296,3.77383648908937,3,4,TRUE
906,2,0.848029277074268,0.823358848385886,-2.46704286883825,3,3,FALSE
910,15,0.797786011042416,0.831278397768164,3.34923867257482,2,3,TRUE
911,9,0.563776900485091,0.574687026837703,1.09101263526113,1,1,FALSE
915,9,0.772323963510928,0.80243736556308,3.01134020521517,2,2,FALSE
916,3,0.660517390110323,0.558552178873637,-10.1965211236686,1,1,FALSE
